 2.200000e+00  2.800000e+00  3.000000e+00  9.934556e-03
 2.300000e+00  2.800000e+00  3.000000e+00  1.002664e-02
 2.400000e+00  2.800000e+00  3.000000e+00  1.011167e-02
 2.500000e+00  2.800000e+00  3.000000e+00  1.019102e-02
 2.600000e+00  2.800000e+00  3.000000e+00  1.026580e-02
 2.700000e+00  2.800000e+00  3.000000e+00  1.033686e-02
 2.800000e+00  2.800000e+00  3.000000e+00  1.040490e-02
 2.900000e+00  2.800000e+00  3.000000e+00  1.047044e-02
 3.000000e+00  2.800000e+00  3.000000e+00  1.053391e-02
 3.100000e+00  2.800000e+00  3.000000e+00  1.059563e-02
 3.200000e+00  2.800000e+00  3.000000e+00  1.065588e-02
 3.300000e+00  2.800000e+00  3.000000e+00  1.071486e-02
 3.400000e+00  2.800000e+00  3.000000e+00  1.077275e-02
 3.500000e+00  2.800000e+00  3.000000e+00  1.082968e-02
 3.600000e+00  2.800000e+00  3.000000e+00  1.088577e-02
 0.000000e+00  3.200000e+00  3.000000e+00  1.353531e-11
 1.000000e-01  3.200000e+00  3.000000e+00  1.055300e-03
 2.000000e-01  3.200000e+00  3.000000e+00  2.068583e-03
 3.000000e-01  3.200000e+00  3.000000e+00  3.042987e-03
 4.000000e-01  3.200000e+00  3.000000e+00  3.977192e-03
 5.000000e-01  3.200000e+00  3.000000e+00  4.869531e-03
 6.000000e-01  3.200000e+00  3.000000e+00  5.718262e-03
 7.000000e-01  3.200000e+00  3.000000e+00  6.521612e-03
 8.000000e-01  3.200000e+00  3.000000e+00  7.277855e-03
 9.000000e-01  3.200000e+00  3.000000e+00  7.985403e-03
 1.000000e+00  3.200000e+00  3.000000e+00  8.642934e-03
 1.100000e+00  3.200000e+00  3.000000e+00  9.249552e-03
 1.200000e+00  3.200000e+00  3.000000e+00  9.804942e-03
 1.300000e+00  3.200000e+00  3.000000e+00  1.030950e-02
 1.400000e+00  3.200000e+00  3.000000e+00  1.076448e-02
 1.500000e+00  3.200000e+00  3.000000e+00  1.117189e-02
 1.600000e+00  3.200000e+00  3.000000e+00  1.153451e-02
 1.700000e+00  3.200000e+00  3.000000e+00  1.185569e-02
 1.800000e+00  3.200000e+00  3.000000e+00  1.213914e-02
 1.900000e+00  3.200000e+00  3.000000e+00  1.238881e-02
 2.000000e+00  3.200000e+00  3.000000e+00  1.260870e-02
 2.100000e+00  3.200000e+00  3.000000e+00  1.280271e-02
 2.200000e+00  3.200000e+00  3.000000e+00  1.297455e-02
 2.300000e+00  3.200000e+00  3.000000e+00  1.312762e-02
 2.400000e+00  3.200000e+00  3.000000e+00  1.326496e-02
 2.500000e+00  3.200000e+00  3.000000e+00  1.338921e-02
 2.600000e+00  3.200000e+00  3.000000e+00  1.350265e-02
 2.700000e+00  3.200000e+00  3.000000e+00  1.360716e-02
 2.800000e+00  3.200000e+00  3.000000e+00  1.370433e-02
 2.900000e+00  3.200000e+00  3.000000e+00  1.379543e-02
 3.000000e+00  3.200000e+00  3.000000e+00  1.388153e-02
 3.100000e+00  3.200000e+00  3.000000e+00  1.396347e-02
 3.200000e+00  3.200000e+00  3.000000e+00  1.404195e-02
 3.300000e+00  3.200000e+00  3.000000e+00  1.411751e-02
 3.400000e+00  3.200000e+00  3.000000e+00  1.419062e-02
 3.500000e+00  3.200000e+00  3.000000e+00  1.426162e-02
 3.600000e+00  3.200000e+00  3.000000e+00  1.433084e-02
